"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","controller","src/controller/CharacterController.java","4","11","Avoid unused imports such as 'view.WorldView'","Type Resolution Rules","UnusedImports"
"2","controller","src/controller/CharacterController.java","4","11","Avoid unused imports such as 'view.WorldView'","Type Resolution Rules","UnusedImports"
"3","controller","src/controller/CharacterController.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","controller","src/controller/CharacterController.java","3","15","Private field 'inGameController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"5","controller","src/controller/CharacterController.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","controller","src/controller/CharacterController.java","3","16","Private field 'character' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"7","controller","src/controller/CharacterController.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","controller","src/controller/CharacterController.java","3","17","Private field 'characterView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"9","controller","src/controller/CharacterController.java","3","25","Parameter 'inGameController' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","controller","src/controller/CharacterController.java","3","57","Parameter 'keyRight' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","controller","src/controller/CharacterController.java","3","61","Parameter 'keyLeft' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","controller","src/controller/CharacterController.java","3","65","Parameter 'keyUp' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","controller","src/controller/CharacterController.java","3","69","Parameter 'keyDown' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","controller","src/controller/CharacterController.java","3","92","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"15","controller","src/controller/CharacterController.java","3","93","Local variable 'input' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","controller","src/controller/CharacterController.java","3","103","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"17","controller","src/controller/GameController.java","4","4","Avoid unused imports such as 'model.InGame'","Type Resolution Rules","UnusedImports"
"18","controller","src/controller/GameController.java","4","4","Avoid unused imports such as 'model.InGame'","Type Resolution Rules","UnusedImports"
"19","controller","src/controller/GameController.java","4","5","Avoid unused imports such as 'model.Player'","Type Resolution Rules","UnusedImports"
"20","controller","src/controller/GameController.java","4","5","Avoid unused imports such as 'model.Player'","Type Resolution Rules","UnusedImports"
"21","controller","src/controller/GameController.java","3","14","Avoid unused private fields such as 'game'.","Unused Code Rules","UnusedPrivateField"
"22","controller","src/controller/GameController.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"23","controller","src/controller/GameController.java","3","14","Perhaps 'game' could be replaced by a local variable.","Design Rules","SingularField"
"24","controller","src/controller/GameController.java","3","14","Private field 'game' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"25","controller","src/controller/GameController.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"26","controller","src/controller/GameController.java","3","15","Private field 'inGameController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"27","controller","src/controller/GameController.java","3","16","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"28","controller","src/controller/GameController.java","3","24","Parameter 'container' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","controller","src/controller/InGameController.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"30","controller","src/controller/InGameController.java","3","13","Private field 'inGame' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"31","controller","src/controller/InGameController.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"32","controller","src/controller/InGameController.java","3","14","Private field 'inGameView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"33","controller","src/controller/InGameController.java","3","15","Avoid excessively long variable names like characterController","Naming Rules","LongVariable"
"34","controller","src/controller/InGameController.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"35","controller","src/controller/InGameController.java","3","15","Private field 'characterController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"36","controller","src/controller/InGameController.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"37","controller","src/controller/InGameController.java","3","16","Private field 'worldController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"38","controller","src/controller/InGameController.java","3","19","Avoid unused private fields such as 'timeStep'.","Unused Code Rules","UnusedPrivateField"
"39","controller","src/controller/InGameController.java","3","19","Private field 'timeStep' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"40","controller","src/controller/InGameController.java","3","20","Avoid excessively long variable names like velocityIterations","Naming Rules","LongVariable"
"41","controller","src/controller/InGameController.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"42","controller","src/controller/InGameController.java","3","21","Avoid excessively long variable names like positionIterations","Naming Rules","LongVariable"
"43","controller","src/controller/InGameController.java","3","23","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"44","controller","src/controller/InGameController.java","3","40","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"45","controller","src/controller/InGameController.java","3","40","Parameter 'gc' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"46","controller","src/controller/InGameController.java","3","40","Parameter 'sbg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"47","controller","src/controller/InGameController.java","3","46","Avoid variables with short names like g","Naming Rules","ShortVariable"
"48","controller","src/controller/InGameController.java","3","46","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"49","controller","src/controller/InGameController.java","3","46","Parameter 'g' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","controller","src/controller/InGameController.java","3","46","Parameter 'gc' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","controller","src/controller/InGameController.java","3","46","Parameter 'sbg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"52","controller","src/controller/InGameController.java","3","52","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"53","controller","src/controller/Main.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"54","controller","src/controller/Main.java","3","14","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","controller","src/controller/Main.java","3","21","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"56","controller","src/controller/WorldController.java","3","10","Avoid unused private fields such as 'inGameController'.","Unused Code Rules","UnusedPrivateField"
"57","controller","src/controller/WorldController.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"58","controller","src/controller/WorldController.java","3","10","Perhaps 'inGameController' could be replaced by a local variable.","Design Rules","SingularField"
"59","controller","src/controller/WorldController.java","3","10","Private field 'inGameController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"60","controller","src/controller/WorldController.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"61","controller","src/controller/WorldController.java","3","11","Private field 'world' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"62","controller","src/controller/WorldController.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"63","controller","src/controller/WorldController.java","3","12","Private field 'worldView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"64","controller","src/controller/WorldController.java","3","14","Parameter 'inGameController' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"65","controller","src/controller/WorldController.java","3","39","Local variable 'impulse' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"66","model","src/model/Block.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"67","model","src/model/BlockMap.java","3","6","Avoid unused private fields such as 'blockList'.","Unused Code Rules","UnusedPrivateField"
"68","model","src/model/BlockMap.java","3","6","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"69","model","src/model/BlockMap.java","3","6","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"70","model","src/model/BlockMap.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"71","model","src/model/BlockMap.java","3","6","Perhaps 'blockList' could be replaced by a local variable.","Design Rules","SingularField"
"72","model","src/model/BlockMap.java","3","6","Private field 'blockList' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"73","model","src/model/BlockMap.java","3","8","Avoid unused constructor parameters such as 'ref'.","Unused Code Rules","UnusedFormalParameter"
"74","model","src/model/Character.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"75","model","src/model/Character.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","model","src/model/Character.java","3","6","Avoid variables with short names like x","Naming Rules","ShortVariable"
"77","model","src/model/Character.java","3","6","Avoid variables with short names like y","Naming Rules","ShortVariable"
"78","model","src/model/Character.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"79","model","src/model/Character.java","3","9","Avoid variables with short names like x","Naming Rules","ShortVariable"
"80","model","src/model/Character.java","3","9","Avoid variables with short names like y","Naming Rules","ShortVariable"
"81","model","src/model/Character.java","3","25","Avoid variables with short names like x","Naming Rules","ShortVariable"
"82","model","src/model/Game.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"83","model","src/model/InGame.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"84","model","src/model/InGame.java","3","5","Private field 'world' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"85","model","src/model/InGame.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"86","model","src/model/InGame.java","3","6","Private field 'player' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"87","model","src/model/InGame.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"88","model","src/model/InGame.java","3","7","Private field 'statusBar' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"89","model","src/model/InGame.java","3","9","Parameter 'world' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"90","model","src/model/Player.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"91","model","src/model/Player.java","3","6","Private field 'character' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"92","model","src/model/StatusBar.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"93","model","src/model/World.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"94","model","src/model/World.java","3","4","Private field 'character' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"95","model","src/model/World.java","3","5","Avoid unused private fields such as 'blockMap'.","Unused Code Rules","UnusedPrivateField"
"96","model","src/model/World.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"97","model","src/model/World.java","3","6","Private field 'worldWidth' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"98","model","src/model/World.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"99","model","src/model/World.java","3","7","Private field 'worldHeight' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"100","view","src/view/BlockMapView.java","3","9","Avoid unused private fields such as 'blockMap'.","Unused Code Rules","UnusedPrivateField"
"101","view","src/view/BlockMapView.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"102","view","src/view/BlockMapView.java","3","9","Perhaps 'blockMap' could be replaced by a local variable.","Design Rules","SingularField"
"103","view","src/view/BlockMapView.java","3","9","Private field 'blockMap' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"104","view","src/view/BlockMapView.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"105","view","src/view/BlockMapView.java","3","10","Perhaps 'map' could be replaced by a local variable.","Design Rules","SingularField"
"106","view","src/view/BlockMapView.java","3","10","Private field 'map' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"107","view","src/view/BlockMapView.java","3","11","Avoid unused private fields such as 'mapWidth'.","Unused Code Rules","UnusedPrivateField"
"108","view","src/view/BlockMapView.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"109","view","src/view/BlockMapView.java","3","11","Perhaps 'mapWidth' could be replaced by a local variable.","Design Rules","SingularField"
"110","view","src/view/BlockMapView.java","3","11","Private field 'mapWidth' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"111","view","src/view/BlockMapView.java","3","12","Avoid unused private fields such as 'mapHeight'.","Unused Code Rules","UnusedPrivateField"
"112","view","src/view/BlockMapView.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"113","view","src/view/BlockMapView.java","3","12","Perhaps 'mapHeight' could be replaced by a local variable.","Design Rules","SingularField"
"114","view","src/view/BlockMapView.java","3","12","Private field 'mapHeight' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"115","view","src/view/BlockMapView.java","3","14","Parameter 'blockMap' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"116","view","src/view/BlockMapView.java","3","14","Parameter 'ref' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"117","view","src/view/CharacterView.java","3","14","Avoid unused private fields such as 'character'.","Unused Code Rules","UnusedPrivateField"
"118","view","src/view/CharacterView.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"119","view","src/view/CharacterView.java","3","14","Perhaps 'character' could be replaced by a local variable.","Design Rules","SingularField"
"120","view","src/view/CharacterView.java","3","14","Private field 'character' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"121","view","src/view/CharacterView.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"122","view","src/view/CharacterView.java","3","15","Private field 'slickShape' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"123","view","src/view/CharacterView.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"124","view","src/view/CharacterView.java","3","16","Private field 'jBox2DRectangle' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"125","view","src/view/CharacterView.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"126","view","src/view/CharacterView.java","3","17","Private field 'bodyDef' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"127","view","src/view/CharacterView.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"128","view","src/view/CharacterView.java","3","18","Private field 'fixtureDef' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"129","view","src/view/CharacterView.java","3","21","Parameter 'character' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"130","view","src/view/CharacterView.java","3","63","Parameter 'color' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"131","view","src/view/InGameView.java","3","14","Avoid unused private fields such as 'inGame'.","Unused Code Rules","UnusedPrivateField"
"132","view","src/view/InGameView.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"133","view","src/view/InGameView.java","3","14","Perhaps 'inGame' could be replaced by a local variable.","Design Rules","SingularField"
"134","view","src/view/InGameView.java","3","14","Private field 'inGame' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"135","view","src/view/InGameView.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"136","view","src/view/InGameView.java","3","15","Private field 'worldView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"137","view","src/view/InGameView.java","3","17","Parameter 'inGame' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"138","view","src/view/InGameView.java","3","17","Parameter 'worldView' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"139","view","src/view/InGameView.java","3","22","Avoid variables with short names like g","Naming Rules","ShortVariable"
"140","view","src/view/InGameView.java","3","22","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"141","view","src/view/InGameView.java","3","22","Parameter 'g' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"142","view","src/view/InGameView.java","3","22","Parameter 'gc' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"143","view","src/view/InGameView.java","3","22","Parameter 'sbg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"144","view","src/view/WorldView.java","4","8","Avoid unused imports such as 'org.jbox2d.dynamics.Filter'","Type Resolution Rules","UnusedImports"
"145","view","src/view/WorldView.java","4","8","Avoid unused imports such as 'org.jbox2d.dynamics.Filter'","Type Resolution Rules","UnusedImports"
"146","view","src/view/WorldView.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"147","view","src/view/WorldView.java","3","13","Private field 'world' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"148","view","src/view/WorldView.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"149","view","src/view/WorldView.java","3","14","Private field 'characterView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"150","view","src/view/WorldView.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"151","view","src/view/WorldView.java","3","15","Perhaps 'gravity' could be replaced by a local variable.","Design Rules","SingularField"
"152","view","src/view/WorldView.java","3","15","Private field 'gravity' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"153","view","src/view/WorldView.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"154","view","src/view/WorldView.java","3","16","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"155","view","src/view/WorldView.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"156","view","src/view/WorldView.java","3","17","Private field 'jBox2DWorld' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"157","view","src/view/WorldView.java","3","18","Private field 'characterBody' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"158","view","src/view/WorldView.java","3","19","Perhaps 'groundBody' could be replaced by a local variable.","Design Rules","SingularField"
"159","view","src/view/WorldView.java","3","21","Parameter 'characterView' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"160","view","src/view/WorldView.java","3","21","Parameter 'world' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"161","view","src/view/WorldView.java","3","79","Avoid variables with short names like ps","Naming Rules","ShortVariable"
"162","view","src/view/WorldView.java","3","79","Local variable 'ps' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"163","view","src/view/WorldView.java","3","83","Local variable 'fixtureDef' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"164","view","src/view/WorldView.java","3","86","Local variable 'bodyDef' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"165","model","test/model/CharacterTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"166","model","test/model/CharacterTest.java","3","5","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"167","model","test/model/CharacterTest.java","3","12","Local variable 'character' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"168","model","test/model/CharacterTest.java","3","13","Local variable 'lifeFromStart' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"169","model","test/model/CharacterTest.java","3","15","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"170","model","test/model/CharacterTest.java","3","15","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
